epoch,loss,metric_choose_argument_global_y_train,val_loss,val_metric_choose_argument_global_y_train
0,-0.9619667530059814,0.8945264220237732,-0.916652500629425,0.38622385263442993
1,-0.9625615477561951,0.8985239863395691,-0.9161400198936462,0.38007381558418274
2,-0.9630604982376099,0.9000614881515503,-0.916132390499115,0.3948339521884918
3,-0.9635581374168396,0.8988314867019653,-0.9158608317375183,0.3923739194869995
4,-0.964065670967102,0.8985239863395691,-0.9157500267028809,0.3813038170337677
5,-0.9644608497619629,0.9003689885139465,-0.9160341024398804,0.38499385118484497
6,-0.9648703336715698,0.9000614881515503,-0.9157975316047668,0.3985239863395691
7,-0.9652666449546814,0.9052890539169312,-0.915402352809906,0.3923739194869995
8,-0.9656387567520142,0.8982164859771729,-0.9152002334594727,0.3923739194869995
9,-0.9659578204154968,0.8994464874267578,-0.9148781299591064,0.3899138867855072
10,-0.9663021564483643,0.899753987789154,-0.9152687788009644,0.38499385118484497
11,-0.9666470885276794,0.9052890539169312,-0.9149479866027832,0.3899138867855072
12,-0.9668957591056824,0.9006764888763428,-0.9141815900802612,0.39360395073890686
13,-0.9672157764434814,0.90375155210495,-0.9142606258392334,0.38868388533592224
14,-0.9674564599990845,0.9000614881515503,-0.9145113825798035,0.38622385263442993
15,-0.9677274227142334,0.9077490568161011,-0.914336621761322,0.38007381558418274
16,-0.9679785966873169,0.9052890539169312,-0.9140453338623047,0.38622385263442993
17,-0.9682140946388245,0.9034440517425537,-0.9144834280014038,0.39114391803741455
18,-0.9684211015701294,0.9034440517425537,-0.9140762090682983,0.39360395073890686
19,-0.9686111211776733,0.90375155210495,-0.914551854133606,0.38868388533592224
