epoch,loss,metric_choose_argument_global_y_train,val_loss,val_metric_choose_argument_global_y_train
0,-0.8763710260391235,0.012607625685632229,-0.8903915286064148,0.033210333436727524
1,-0.8989238142967224,0.0353628545999527,-0.8991973996162415,0.0565805658698082
2,-0.9074605703353882,0.04889298975467682,-0.9035232663154602,0.0676506757736206
3,-0.9135370850563049,0.07380073517560959,-0.9036045670509338,0.0676506757736206
4,-0.9181733131408691,0.1085485890507698,-0.9042816162109375,0.07257072627544403
5,-0.9220693111419678,0.15436653792858124,-0.9039167761802673,0.07257072627544403
6,-0.9252804517745972,0.21740467846393585,-0.9035000205039978,0.07134070992469788
7,-0.9281072020530701,0.27306273579597473,-0.9017729163169861,0.084870845079422
8,-0.9304789900779724,0.33856087923049927,-0.9004260301589966,0.07749077677726746
9,-0.9326192140579224,0.40590405464172363,-0.900265097618103,0.07011070102453232
10,-0.9344187378883362,0.46494466066360474,-0.8989037275314331,0.07503075152635574
11,-0.9360207915306091,0.5076875686645508,-0.8973061442375183,0.07257072627544403
12,-0.9373929500579834,0.5390529036521912,-0.8962240219116211,0.06396064162254333
13,-0.9387001395225525,0.5777983069419861,-0.8952077627182007,0.06642066687345505
14,-0.9397842288017273,0.5916359424591064,-0.894191324710846,0.0676506757736206
15,-0.9407690167427063,0.6226937174797058,-0.8932735919952393,0.07134070992469788
16,-0.9416524767875671,0.6469864845275879,-0.8929944634437561,0.07380073517560959
17,-0.9425308108329773,0.649753987789154,-0.8910756707191467,0.06642066687345505
18,-0.9432887434959412,0.6718941926956177,-0.8909765481948853,0.06642066687345505
19,-0.9439570307731628,0.6801968216896057,-0.8894162178039551,0.06273062527179718
