epoch,loss,metric_choose_argument_global_y_train,val_loss,val_metric_choose_argument_global_y_train
0,-0.8763710260391235,0.012607625685632229,-0.8903915286064148,0.033210333436727524
1,-0.8989238142967224,0.0353628545999527,-0.8991973996162415,0.0565805658698082
2,-0.9074605703353882,0.04889298975467682,-0.9035232663154602,0.0676506757736206
3,-0.9135370850563049,0.07380073517560959,-0.9036045670509338,0.0676506757736206
4,-0.9181733131408691,0.1085485890507698,-0.9042816162109375,0.07257072627544403
5,-0.9220693111419678,0.15436653792858124,-0.9039167761802673,0.07257072627544403
6,-0.9252804517745972,0.21740467846393585,-0.9035000205039978,0.07134070992469788
7,-0.9281072020530701,0.27306273579597473,-0.9017729163169861,0.084870845079422
8,-0.9304789900779724,0.33856087923049927,-0.9004260301589966,0.07749077677726746
9,-0.9326192140579224,0.40590405464172363,-0.900265097618103,0.07011070102453232
10,-0.9344187378883362,0.46494466066360474,-0.8989037275314331,0.07503075152635574
11,-0.9360207915306091,0.5076875686645508,-0.8973061442375183,0.07257072627544403
12,-0.9373929500579834,0.5390529036521912,-0.8962240219116211,0.06396064162254333
13,-0.9387001395225525,0.5777983069419861,-0.8952077627182007,0.06642066687345505
14,-0.9397842288017273,0.5916359424591064,-0.894191324710846,0.0676506757736206
15,-0.9407690167427063,0.6226937174797058,-0.8932735919952393,0.07134070992469788
16,-0.9416524767875671,0.6469864845275879,-0.8929944634437561,0.07380073517560959
17,-0.9425308108329773,0.649753987789154,-0.8910756707191467,0.06642066687345505
18,-0.9432887434959412,0.6718941926956177,-0.8909765481948853,0.06642066687345505
19,-0.9439570307731628,0.6801968216896057,-0.8894162178039551,0.06273062527179718
0,-0.8766734004020691,0.011685117147862911,-0.8896147012710571,0.03444034606218338
1,-0.8993036150932312,0.029212791472673416,-0.8986536264419556,0.046740468591451645
2,-0.9076977968215942,0.05258302763104439,-0.901698112487793,0.07503075152635574
3,-0.9135802388191223,0.07933579385280609,-0.9036263227462769,0.07503075152635574
4,-0.9182064533233643,0.1171586737036705,-0.9038413763046265,0.07503075152635574
5,-0.9218049049377441,0.1571340709924698,-0.9031704664230347,0.07011070102453232
6,-0.9250102639198303,0.20971709489822388,-0.9032390713691711,0.06150061637163162
7,-0.9277642369270325,0.2690652012825012,-0.9019337892532349,0.07134070992469788
8,-0.9300516247749329,0.31734317541122437,-0.9009706974029541,0.0676506757736206
9,-0.9320603013038635,0.38407135009765625,-0.9001513123512268,0.07134070992469788
10,-0.9338090419769287,0.4424969255924225,-0.8984352946281433,0.07134070992469788
11,-0.9353094696998596,0.4747847616672516,-0.8984150290489197,0.06519065052270889
12,-0.936591386795044,0.5138376355171204,-0.8974757790565491,0.0676506757736206
13,-0.9377619624137878,0.552275538444519,-0.8962148427963257,0.06519065052270889
14,-0.938903272151947,0.5781058073043823,-0.8950600624084473,0.06888069212436676
15,-0.939822793006897,0.6048585772514343,-0.8947423696517944,0.07257072627544403
16,-0.9406776428222656,0.6196187138557434,-0.8946133255958557,0.07011070102453232
17,-0.9413813948631287,0.6309962868690491,-0.892495334148407,0.06519065052270889
18,-0.9422101378440857,0.659286618232727,-0.892600417137146,0.06888069212436676
19,-0.9428176879882812,0.6749692559242249,-0.8915675282478333,0.06642066687345505
