epoch,loss,metric_choose_argument_global_sq_y_train,val_loss,val_metric_choose_argument_global_sq_y_train
0,-0.7393081188201904,0.0052275522612035275,-0.7533817887306213,0.01230012346059084
1,-0.7738385200500488,0.0212177112698555,-0.7675865292549133,0.023370234295725822
2,-0.7911101579666138,0.043665435165166855,-0.7740408778190613,0.03198032081127167
3,-0.8042303919792175,0.07318573445081711,-0.7750089764595032,0.033210333436727524
4,-0.8142402172088623,0.12300123274326324,-0.7755444645881653,0.03936039283871651
5,-0.8224817514419556,0.15774907171726227,-0.7724589109420776,0.04551045596599579
6,-0.8291382193565369,0.22755227982997894,-0.7718664407730103,0.04920049384236336
7,-0.8346335887908936,0.2761377692222595,-0.7694494724273682,0.05289052799344063
8,-0.8395107984542847,0.3271832764148712,-0.7664996981620789,0.054120540618896484
9,-0.8436219692230225,0.3914514183998108,-0.7634194493293762,0.03936039283871651
10,-0.8471259474754333,0.42650675773620605,-0.7613191604614258,0.04551045596599579
11,-0.8500653505325317,0.4750922620296478,-0.7595891356468201,0.054120540618896484
12,-0.8524944186210632,0.5104551315307617,-0.7582862973213196,0.046740468591451645
13,-0.8550881743431091,0.5408979058265686,-0.7563510537147522,0.05166051536798477
14,-0.8570958971977234,0.5602706074714661,-0.7544207572937012,0.05166051536798477
15,-0.8589619994163513,0.5916359424591064,-0.7533957362174988,0.046740468591451645
16,-0.8607103228569031,0.6060885787010193,-0.7503795623779297,0.04551045596599579
17,-0.8622273802757263,0.6276137828826904,-0.7500892877578735,0.04920049384236336
18,-0.8636822700500488,0.6377613544464111,-0.7493615746498108,0.050430502742528915
19,-0.8649957776069641,0.6531365513801575,-0.7464084625244141,0.0479704812169075
