epoch,loss,metric_choose_argument_global_clu_y_train,val_loss,val_metric_choose_argument_global_clu_y_train
0,-0.7750400900840759,0.011992620304226875,-0.7894061207771301,0.03198032081127167
1,-0.8099493384361267,0.026445263996720314,-0.8029910326004028,0.04428044334053993
2,-0.8252267837524414,0.049815498292446136,-0.8084613680839539,0.05289052799344063
3,-0.8357821702957153,0.07318573445081711,-0.8101997971534729,0.06150061637163162
4,-0.8439463376998901,0.10116851329803467,-0.8100789189338684,0.06273062527179718
5,-0.8507102131843567,0.1368388682603836,-0.8089622855186462,0.05904059112071991
6,-0.8560924530029297,0.18050430715084076,-0.8074739575386047,0.06642066687345505
7,-0.8609395623207092,0.2287822812795639,-0.8075724244117737,0.06642066687345505
8,-0.8647937178611755,0.27952030301094055,-0.8027601838111877,0.0762607604265213
9,-0.8684538006782532,0.3354858458042145,-0.8004037737846375,0.05904059112071991
10,-0.8711738586425781,0.3686961829662323,-0.7989201545715332,0.06273062527179718
11,-0.8739931583404541,0.40990158915519714,-0.797504723072052,0.0762607604265213
12,-0.8764289617538452,0.44372692704200745,-0.7943077087402344,0.0676506757736206
13,-0.8785403966903687,0.4757072627544403,-0.7917608022689819,0.0676506757736206
14,-0.8805104494094849,0.5126076340675354,-0.7906773686408997,0.0676506757736206
15,-0.8821053504943848,0.5415129065513611,-0.7894344329833984,0.07011070102453232
16,-0.8836843371391296,0.5621156096458435,-0.786874532699585,0.06396064162254333
17,-0.8852614164352417,0.5867158770561218,-0.7867948412895203,0.06519065052270889
18,-0.8865759372711182,0.5897908806800842,-0.7847706079483032,0.06888069212436676
19,-0.8878029584884644,0.6190037131309509,-0.7857952117919922,0.07134070992469788
