epoch,loss,metric_choose_argument_global_sd_y_train,val_loss,val_metric_choose_argument_global_sd_y_train
0,-0.817254364490509,0.08610086143016815,-0.8293280005455017,0.23616236448287964
1,-0.8327473998069763,0.10024600476026535,-0.8294432163238525,0.2201721966266632
2,-0.8410841822624207,0.11992619931697845,-0.8282526731491089,0.1980319768190384
3,-0.8471974730491638,0.15282902121543884,-0.8268126249313354,0.17589175701141357
4,-0.8522958159446716,0.1848093420267105,-0.8236249685287476,0.15990160405635834
5,-0.8566007614135742,0.22601476311683655,-0.8207786083221436,0.14883148670196533
6,-0.8601955771446228,0.26937270164489746,-0.818805992603302,0.1328413337469101
7,-0.8634635806083679,0.3121156096458435,-0.8165399432182312,0.12915128469467163
8,-0.8663124442100525,0.35670357942581177,-0.8130136728286743,0.11685116589069366
9,-0.8687487840652466,0.39821648597717285,-0.8102327585220337,0.09963099658489227
10,-0.87106853723526,0.4329643249511719,-0.8090234994888306,0.08979089558124542
11,-0.8730396032333374,0.47355473041534424,-0.8073815107345581,0.084870845079422
12,-0.8748651742935181,0.5033825635910034,-0.8050199151039124,0.08118081092834473
13,-0.8766533732414246,0.5332103371620178,-0.8021851181983948,0.07380073517560959
14,-0.8780615329742432,0.5492004752159119,-0.8002762794494629,0.07749077677726746
15,-0.8795045018196106,0.5811808109283447,-0.799497127532959,0.07134070992469788
16,-0.8807265162467957,0.6008610129356384,-0.796085774898529,0.06642066687345505
17,-0.8819507360458374,0.6297662854194641,-0.7947668433189392,0.06642066687345505
18,-0.8830179572105408,0.6353013515472412,-0.7930039763450623,0.06396064162254333
19,-0.884007453918457,0.6571340560913086,-0.7921292781829834,0.060270603746175766
