epoch,loss,metric_choose_argument_global_sq_y_train,val_loss,val_metric_choose_argument_global_sq_y_train
0,-0.7572553753852844,0.019680196419358253,-0.7663736343383789,0.04920049384236336
1,-0.7998501062393188,0.07226322591304779,-0.7861762046813965,0.08610086143016815
2,-0.8195429444313049,0.16174662113189697,-0.7931767106056213,0.1156211569905281
3,-0.834193766117096,0.2736777365207672,-0.7979110479354858,0.17097170650959015
4,-0.8456188440322876,0.37792128324508667,-0.8019199967384338,0.21402214467525482
5,-0.8545951247215271,0.49261993169784546,-0.8021159172058105,0.25584256649017334
6,-0.8619728088378906,0.5713407397270203,-0.8032144904136658,0.2915129065513611
7,-0.8678178191184998,0.6436039209365845,-0.8040707111358643,0.32349324226379395
8,-0.8726528286933899,0.7115620970726013,-0.8043074011802673,0.3308733105659485
9,-0.8767656683921814,0.7533825635910034,-0.803957998752594,0.3554735481739044
10,-0.8804244995117188,0.7838253378868103,-0.8027702569961548,0.3677736818790436
11,-0.8833653926849365,0.823493242263794,-0.8032971024513245,0.37761378288269043
12,-0.8861353397369385,0.847478449344635,-0.8027447462081909,0.3788437843322754
13,-0.8885475993156433,0.8720787167549133,-0.8030443787574768,0.3923739194869995
14,-0.8906206488609314,0.88376384973526,-0.8027387857437134,0.3899138867855072
15,-0.8925309181213379,0.8982164859771729,-0.8017004728317261,0.3948339521884918
16,-0.8942926526069641,0.9111316204071045,-0.8016524314880371,0.4034440219402313
17,-0.8958554863929749,0.9237392544746399,-0.801283597946167,0.40467405319213867
18,-0.8973246216773987,0.929274320602417,-0.8011252880096436,0.40836408734321594
19,-0.8986390829086304,0.9354243278503418,-0.801378071308136,0.40590405464172363
