epoch,loss,metric_choose_argument_global_cla_y_train,val_loss,val_metric_choose_argument_global_cla_y_train
0,-0.787976861000061,0.0282902829349041,-0.7985969185829163,0.05166051536798477
1,-0.8280619382858276,0.08118081092834473,-0.8153666853904724,0.0762607604265213
2,-0.8446788787841797,0.14421893656253815,-0.8220311403274536,0.11070110648870468
3,-0.8565786480903625,0.23554734885692596,-0.8244515657424927,0.14268141984939575
4,-0.8661848902702332,0.34471094608306885,-0.8295055627822876,0.20418204367160797
5,-0.8737682700157166,0.42404675483703613,-0.8304838538169861,0.21279212832450867
6,-0.8802451491355896,0.5169126987457275,-0.8325467109680176,0.2509225010871887
7,-0.8854389786720276,0.5817958116531372,-0.8325159549713135,0.2804428040981293
8,-0.8898596167564392,0.6506764888763428,-0.833469808101654,0.3099631071090698
9,-0.8937432169914246,0.6989544630050659,-0.8338438272476196,0.31734317541122437
10,-0.8971928954124451,0.7493849992752075,-0.8329566717147827,0.3468634784221649
11,-0.8999560475349426,0.7829028367996216,-0.8342640399932861,0.38007381558418274
12,-0.9026196599006653,0.819495677947998,-0.8334338665008545,0.36654365062713623
13,-0.9048894047737122,0.8480935096740723,-0.8335497975349426,0.3788437843322754
14,-0.9069583415985107,0.8683887124061584,-0.8332837820053101,0.3874538838863373
15,-0.9088857769966125,0.884993851184845,-0.8327609896659851,0.40467405319213867
16,-0.9104859232902527,0.8991389870643616,-0.8329401016235352,0.3960639536380768
17,-0.912190318107605,0.9148216247558594,-0.8322595357894897,0.39975398778915405
18,-0.9135497212409973,0.920971691608429,-0.8332111835479736,0.4120541214942932
19,-0.9149041771888733,0.9311193227767944,-0.8320873975753784,0.4132841229438782
